wrestler_name,matches,wins
Tama Tonga,1,1
Volador Jr.,1,0
Candice LeRae,1,0
Finn Balor,2,1
Tony Nese,1,1
Claudio Castagnoli,2,1
Dustin Rhodes,1,1
Johnny TV,1,0
Rey Fenix,1,1
JD McDonagh,1,0
Tonga Loa,1,1
Dominik Mysterio,1,0
Roxanne Perez,1,1
Nathan Frazer,1,1
Akam,2,1
Carlito,1,0
Ethan Page,1,0
Wheeler Yuta,2,1
Thea Hail,1,0
Shawn Spears,1,1
Sami Zayn,1,1
LA Knight,1,1
Laredo Kid,1,0
Nic Nemeth,1,1
Kelani Jordan,2,1
Isla Dawn,1,0
Angelo Dawkins,1,0
Alba Fyre,1,0
Tavion Heights,1,0
Wolfgang,1,1
Swerve Strickland,1,1
Orange Cassidy,2,1
Kyle O'Reilly,2,0
Jade Cargill,2,2
Jazmyn Nyx,1,1
Montez Ford,1,0
Lyra Valkyria,1,0
Oba Femi,1,1
Stevie Turner,1,0
Mariah May,1,0
Jordynne Grace,3,2
Braun Strowman,2,2
Jay Lethal,1,0
Iyo Sky,1,1
Tyler Bate,1,0
Rugido (La Parka Negra III),1,0
Cash Wheeler,1,0
Luke Gallows,1,0
Eddy Thorpe,1,1
Kon,1,0
Mark Briscoe,1,1
Dante Chen,1,0
Daniel Garcia,1,1
Kofi Kingston,1,0
Carmelo Hayes,1,0
Rey Mysterio,2,1
Damian Priest,1,1
 Mia Yim,1,0
Wes Less,2,0
Trent Seven,1,1
Bryan Danielson,1,1
Je'Von Evans,1,0
Roderick Strong,1,0
Campaign Singh,1,0
Jake Something,1,1
Bianca Belair,2,2
Magnus,1,0
The Miz,1,1
Lash Legend,2,0
AJ Francis,1,1
Dante Leon,1,0
Mia Yim,2,2
Ludwig Kaiser,1,1
Fallon Henley,2,0
Lola Vice,1,1
Karl Anderson,1,0
Pete Dunne,1,0
Lexis King,1,1
Otis,1,0
Ricochet,1,0
Tate Mayfairs,1,0
Sol Ruca,2,1
Natalya,2,1
Toni Storm,1,1
Xavier Woods,1,0
Mustafa Ali,1,0
Shayna Bazler,2,0
Grayson Waller,1,1
Zoey Stark,2,1
Brian Cage,1,0
Mike Bailey,1,1
R-Truth,1,1
Jaida Parker,3,1
Solo Sikoa,1,1
Dax Harwood,1,0
Bron Breakker,2,2
Kiana James,1,1
Esfinge,1,0
Kevin Owens,1,0
Mark Coffey,1,1
Brinley Reece,1,0
Wendy Choo,1,1
Damon Kemp,1,0
Dragon Lee,2,1
Izzi Dame,1,0
Drew McIntrye,1,1
Trent Jordy,1,0
Axiom,1,1
Jon Moxley,1,1
Trick Williams,1,1
Ari Daivari,1,1
Frankie Kazarian,1,0
Lady Frost,1,0
Gisele Shaw,1,1
Saraya,1,1
Shayna Baszler,1,1
Rezar,2,1
Joe Coffey,2,1
Indi Hartwell,1,0
Robyn Renegade,1,0
Shazza McKenzzie,1,0
Allysin Kay,1,0
Tony D'Angelo,1,1
Sheamus,1,0
Ilja Dragunov,1,0
Johnny Gargano,1,0
Kris Statlander,1,1
