company,show,year,month,day,competitors,winners,wins_by,stipulations,on_the_line,duration
WWE,Raw,2024,June,3,"Ludwig Kaiser, Sheamus",Ludwig Kaiser,pinfall,none,none,TBD
WWE,Raw,2024,June,3,"Finn Balor, Dragon Lee",Finn Balor,pinfall,none,none,TBD
WWE,Raw,2024,June,3,"Bron Breakker, Ricochet",Bron Breakker,pinfall,none,none,TBD
WWE,Raw,2024,June,3,"Kiana James, Natalya",Kiana James,pinfall,none,none,TBD
WWE,Raw,2024,June,3,"Braun Strowman, Carlito",Braun Strowman,pinfall,none,none,TBD
WWE,Raw,2024,June,3,"Bianca Belair, Jade Cargill, Shayna Bazler, Zoey Stark","Bianca Belair, Jade Cargill",DQ,none,none,TBD
WWE,Raw,2024,June,3,"Akam, Rezar, Kofi Kingston, Xavier Woods","Akam, Rezar",pinfall,none,none,TBD
WWE,Raw,2024,June,3,"Damian Priest, Rey Mysterio",Damian Priest,pinfall,none,none,TBD
WWE,NXT,2024,June,4,"Jordynne Grace, Stevie Turner",Jordynne Grace,pinfall,none,none,TBD
WWE,NXT,2024,June,4,"Jazmyn Nyx, Thea Hail",Jazmyn Nyx,pinfall,none,none,TBD
WWE,NXT,2024,June,4,"Damon Kemp, Tony D'Angelo",Tony D'Angelo,pinfall,British Round Rules,NXT Hertiage Cup,TBD
WWE,NXT,2024,June,4,"Izzi Dame, Natalya",Natalya,pinfall,none,none,TBD
WWE,NXT,2024,June,4,"Fallon Henley, Kelani Jordan, Lash Legend, Jaida Parker, Mia Yim, Sol Ruca","Jaida Parker, Mia Yim, Sol Ruca",pinfall,none,none,TBD
AEW,Dynamite,2024,June,5,"Orange Cassidy, Kyle O'Reilly, Jay Lethal, Rey Fenix",Rey Fenix,pinfall,Fatal Four Way Match,none,TBD
AEW,Dynamite,2024,June,5,"Mark Briscoe, Brian Cage",Mark Briscoe,pinfall,none,none,TBD
AEW,Dynamite,2024,June,5,"Bryan Danielson, Claudio Castagnoli, Jon Moxley, Wheeler Yuta, Esfinge (Halcón Furia Jr.), Astro Boy Magnus, Rugido (La Parka Negra III), Volador Jr.","Bryan Danielson, Claudio Castagnoli, Jon Moxley, Wheeler Yuta",pinfall,8-Man Grudge Match,none,TBD
AEW,Dynamite,2024,June,5,"Saraya (Paige), Mariah May",Saraya (Paige),submission,none,none,TBD
AEW,Dynamite,2024,June,5,"Swerve Strickland, Roderick Strong",Swerve Strickland,pinfall,none,none,TBD
TNA,iMPACT!,2024,June,6,"Jake Something, Kon",Jake Something,pinfall,none,none,TBD
TNA,iMPACT!,2024,June,6,"Gisele Shaw, Shazza McKenzzie",Gisele Shaw,pinfall,none,none,TBD
TNA,iMPACT!,2024,June,6,"Trent Seven, Mike Bailey, Mustafa Ali, Campaign Singh","Trent Seven, Mike Bailey",pinfall,none,none,TBD
TNA,iMPACT!,2024,June,6,"Jordynne Grace, Allysin Kay",Jordynne Grace,pinfall,none,TNA Knockout's World Championship,TBD
TNA,iMPACT!,2024,June,6,"AJ Francis, Laredo Kid",AJ Francis,pinfall,none,TNA Digital Media Championship,TBD
TNA,iMPACT!,2024,June,6,"Nic Nemeth, Frankie Kazarian",Nic Nemeth,pinfall,none,none,TBD
WWE,SmackDown,2024,June,7,"Bianca Belair, Jade Cargill, Candice LeRae, Indi Hartwell","Bianca Belair, Jade Cargill",pinfall,none,none,TBD
WWE,SmackDown,2024,June,7,"Grayson Waller, Johnny Gargano",Grayson Waller,pinfall,none,none,TBD
WWE,SmackDown,2024,June,7,"Carmelo Hayes, LA Knight",LA Knight,pinfall,none,none,TBD
WWE,SmackDown,2024,June,7,"Kevin Owens, Angelo Dawkins, Montez Ford, Solo Sikoa, Tama Tonga, Tonga Loa","Solo Sikoa, Tama Tonga, Tonga Loa",DQ,none,none,TBD
AEW,Collision,2024,June,8,"Wheeler Yuta, Claudio Castagnoli, Dax Harwood, Cash Wheeler",none,Time Limit Draw,none,none,20
AEW,Collision,2024,June,8,"Kris Statlander, Robyn Renegade",Kris Statlander,pinfall,none,none,TBD
AEW,Collision,2024,June,8,"Dustin Rhodes, Johnny TV",Dustin Rhodes,pinfall,none,none,TBD
AEW,Collision,2024,June,8,"Tony Nese, Ari Daivari, Trent Jordy, Dante Leon","Tony Nese, Ari Daivari",pinfall,none,none,TBD
AEW,Collision,2024,June,8,"Toni Storm, Lady Frost",Toni Storm,pinfall,none,none,TBD
AEW,Collision,2024,June,8,"Daniel Garcia, Tate Mayfairs",Daniel Garcia,pinfall,none,none,TBD
AEW,Collision,2024,June,8,"Orange Cassidy, Kyle O'Reilly",Orange Cassidy,pinfall,none,none,TBD
